InvoiceNo,CustomerName,ProductCategory,OrderDate,ShippingDate,Price,Quantity,Country,TotalAmount
INV-5848,Frank,Beauty,8/22/2024,8/25/2024,25.46,8,Canada,203.68
INV-6430,Diana,Beauty,7/18/2024,7/22/2024,311.24,5,Germany,1556.2
INV-5951,Frank,Beauty,7/16/2024,7/22/2024,310.52,5,France,1552.6
INV-2016,Bob,Groceries,10/7/2024,10/12/2024,52.16,1,Canada,52.16
INV-7159,Charlie,Groceries,2/28/2024,3/1/2024,353.63,1,UK,353.63
INV-1378,Alice,Electronics,7/25/2024,7/31/2024,285.96,5,Germany,1429.8
INV-8235,Eve,Groceries,12/5/2024,12/8/2024,440.43,3,UK,1321.29
INV-9362,Charlie,Electronics,1/21/2024,1/25/2024,316.41,3,Australia,949.23
INV-7616,Bob,Toys,4/8/2024,4/11/2024,427.96,6,Australia,2567.76
INV-8564,Frank,Groceries,3/21/2024,3/27/2024,209.3,7,Germany,1465.1
INV-5752,Eve,Toys,10/2/2024,10/3/2024,278.33,9,France,2504.97
INV-8469,Charlie,Clothing,10/18/2024,10/24/2024,108.33,6,Australia,649.98
INV-6448,Charlie,Clothing,1/14/2024,1/17/2024,462.24,1,Germany,462.24
INV-7816,Bob,Clothing,3/11/2024,3/17/2024,376.92,8,France,3015.36
INV-7401,Eve,Electronics,9/11/2024,9/17/2024,55.5,5,Australia,277.5
INV-3319,Bob,Groceries,3/11/2024,3/13/2024,146.36,9,France,1317.24
INV-5434,Diana,Beauty,11/1/2024,11/7/2024,480.88,5,Australia,2404.4
INV-7410,Eve,Beauty,7/31/2024,8/2/2024,284.28,5,UK,1421.4
INV-6971,Alice,Electronics,10/22/2024,10/26/2024,307.15,5,USA,1535.75
INV-5237,Bob,Groceries,11/12/2024,11/18/2024,395.29,9,France,3557.61
INV-1785,Frank,Books,3/10/2024,3/17/2024,162.77,6,Germany,976.62
INV-4339,Frank,Toys,2/3/2024,2/4/2024,199.94,5,Canada,999.7
INV-3444,Frank,Beauty,4/6/2024,4/7/2024,476.46,10,Germany,4764.6
INV-9412,Frank,Books,2/2/2024,2/4/2024,84.76,1,Canada,84.76
INV-6586,Eve,Books,3/18/2024,3/19/2024,233.07,4,Germany,932.28
INV-1045,Frank,Groceries,9/19/2024,9/26/2024,449.44,2,Canada,898.88
INV-5249,Frank,,5/11/2024,5/13/2024,103.39,1,Germany,103.39
INV-7953,Frank,Groceries,10/28/2024,11/3/2024,198.9,5,Germany,994.5
INV-2596,Diana,Clothing,7/29/2024,7/30/2024,469.33,1,France,469.33
INV-9234,Charlie,Beauty,4/19/2024,4/21/2024,5.56,10,Canada,55.6
INV-4017,Diana,Beauty,6/5/2024,6/7/2024,26.26,4,USA,105.04
INV-3843,Charlie,Beauty,10/4/2024,10/7/2024,325.95,1,Canada,325.95
INV-7135,Alice,Toys,6/24/2024,6/29/2024,211.67,10,UK,2116.7
INV-9576,Bob,Books,10/5/2024,10/6/2024,80.29,7,Germany,562.03
INV-9826,Frank,Beauty,8/4/2024,8/10/2024,97.8,5,Germany,489
INV-5041,Charlie,Books,7/28/2024,7/31/2024,354.67,5,Germany,1773.35
INV-5952,Charlie,Books,8/31/2024,9/6/2024,261.96,8,France,2095.68
INV-1372,Charlie,Toys,10/1/2024,10/7/2024,52.97,1,UK,52.97
INV-2956,Eve,Beauty,4/5/2024,4/8/2024,412.57,4,UK,1650.28
INV-2123,Bob,Electronics,2/4/2024,2/9/2024,282.53,2,Canada,565.06
INV-3092,Frank,Groceries,5/18/2024,5/22/2024,152.17,2,UK,304.34
INV-6321,Alice,Clothing,5/15/2024,5/19/2024,110.37,1,USA,110.37
INV-3268,Charlie,Groceries,5/30/2024,5/31/2024,154.92,3,UK,464.76
INV-2992,Bob,Toys,5/29/2024,6/5/2024,486.45,4,France,1945.8
INV-8575,Alice,Clothing,10/27/2024,11/1/2024,432.94,5,Canada,2164.7
INV-8342,Diana,Groceries,3/21/2024,3/28/2024,372.48,10,UK,3724.8
INV-7294,Bob,Toys,9/17/2024,9/24/2024,240.6,6,Canada,1443.6
INV-9248,Charlie,,7/27/2024,8/1/2024,14.89,7,France,104.23
INV-2122,Charlie,Groceries,9/19/2024,9/20/2024,5.29,10,UK,52.9
INV-7798,Bob,Electronics,10/5/2024,10/7/2024,85.41,4,USA,341.64
INV-2871,Frank,Electronics,3/18/2024,3/19/2024,293.47,8,UK,2347.76
INV-9061,Frank,Books,9/1/2024,9/6/2024,284.48,2,USA,568.96
INV-7436,Bob,Toys,12/24/2024,12/28/2024,239.72,3,Australia,719.16
INV-2588,Diana,Books,3/31/2024,4/7/2024,242.07,2,Germany,484.14
INV-6869,Alice,Beauty,11/10/2024,11/15/2024,256.91,8,Germany,2055.28
INV-3396,Diana,Clothing,11/9/2024,11/13/2024,44.85,5,Germany,224.25
INV-5809,Eve,Electronics,11/3/2024,11/4/2024,121.56,10,Germany,1215.6
INV-1804,Diana,Groceries,6/12/2024,6/16/2024,130.88,5,France,654.4
INV-2709,Diana,Books,1/21/2024,1/27/2024,452.76,5,UK,2263.8
INV-5082,Eve,Groceries,10/13/2024,10/20/2024,59.26,10,Canada,592.6
INV-9961,Charlie,Clothing,1/16/2024,1/23/2024,72.05,3,UK,216.15
INV-9770,Eve,Clothing,1/12/2024,1/13/2024,137.93,5,UK,689.65
INV-7492,Eve,Books,11/8/2024,11/15/2024,74.07,5,Germany,370.35
INV-5917,Bob,Books,10/23/2024,10/24/2024,270.36,8,UK,2162.88
INV-1045,Eve,Books,6/11/2024,6/18/2024,54.77,8,Australia,438.16
INV-1819,Charlie,Books,1/29/2024,2/5/2024,88.95,1,Germany,88.95
INV-1572,Frank,Clothing,3/7/2024,3/12/2024,332.8,9,France,2995.2
INV-6327,Charlie,Groceries,4/1/2024,4/4/2024,226.22,7,Australia,1583.54
INV-6142,Eve,Electronics,7/18/2024,7/23/2024,66.49,7,Canada,465.43
INV-3500,Diana,Toys,9/1/2024,9/2/2024,423.65,1,France,423.65
INV-3649,Alice,Toys,8/21/2024,8/23/2024,336.45,10,France,3364.5
INV-4749,Alice,Toys,1/31/2024,2/1/2024,325.31,5,UK,1626.55
INV-5995,Eve,Toys,9/27/2024,10/3/2024,435.26,4,USA,1741.04
INV-4793,Eve,Clothing,1/16/2024,1/19/2024,90.34,9,Australia,813.06
INV-5766,Bob,Electronics,3/13/2024,3/18/2024,10.06,2,France,20.12
INV-6236,Diana,Toys,12/7/2024,12/13/2024,353.63,3,France,1060.89
INV-7403,Diana,Electronics,3/4/2024,3/10/2024,121.64,8,UK,973.12
INV-1749,Charlie,Toys,3/28/2024,4/2/2024,484.58,6,Germany,2907.48
INV-2027,Charlie,Clothing,10/23/2024,10/24/2024,148.51,8,Germany,1188.08
INV-8480,Diana,Toys,1/20/2024,1/25/2024,436.47,1,Germany,436.47
INV-7539,Bob,Clothing,4/14/2024,4/15/2024,81.45,7,France,570.15
INV-5172,Charlie,Electronics,1/1/2024,1/5/2024,260.06,8,USA,2080.48
INV-3087,Diana,Toys,10/14/2024,10/16/2024,148.69,10,UK,1486.9
INV-7272,Bob,Beauty,12/2/2024,12/6/2024,354.5,4,Australia,1418
INV-5596,Eve,Clothing,8/22/2024,8/28/2024,109.13,3,Canada,327.39
,Alice,Clothing,9/12/2024,9/16/2024,66.39,1,Germany,66.39
INV-2538,Alice,Beauty,2/9/2024,2/13/2024,409.81,3,UK,1229.43
INV-6570,Bob,Books,3/17/2024,3/23/2024,347.1,6,Canada,2082.6
INV-2061,Frank,Beauty,1/16/2024,1/18/2024,256.99,1,UK,256.99
INV-4225,Alice,Beauty,8/7/2024,8/8/2024,424.91,8,Australia,3399.28
INV-6770,Charlie,Clothing,11/13/2024,11/14/2024,105.09,10,Germany,1050.9
INV-3823,Alice,Electronics,9/1/2024,9/7/2024,123.05,4,France,492.2
INV-8988,Frank,Clothing,6/12/2024,6/17/2024,414.55,10,Germany,4145.5
INV-6119,Frank,Books,7/1/2024,7/4/2024,136.2,6,Canada,817.2
INV-8323,Bob,Books,7/4/2024,7/10/2024,281.58,2,Australia,563.16
INV-3540,Alice,Electronics,11/8/2024,11/9/2024,280.32,5,Australia,1401.6
INV-7265,Diana,Clothing,3/21/2024,3/26/2024,315.29,3,UK,945.87
INV-9764,Bob,Toys,7/20/2024,7/27/2024,398.38,9,UK,3585.42
INV-1077,Eve,Clothing,4/8/2024,4/14/2024,19.03,2,Germany,38.06
INV-7235,Frank,Books,1/10/2024,1/17/2024,225.62,10,UK,2256.2
INV-3443,Charlie,Books,10/2/2024,10/5/2024,19.19,6,Canada,115.14
INV-4399,Diana,Toys,5/6/2024,5/13/2024,158.94,7,Canada,1112.58
INV-3230,Charlie,Beauty,8/9/2024,8/15/2024,206.4,4,Canada,825.6
INV-8087,Bob,Electronics,9/30/2024,10/3/2024,125.55,7,Canada,878.85
INV-4720,Frank,Books,9/3/2024,9/10/2024,188.41,1,Canada,188.41
INV-3678,Diana,Toys,7/9/2024,7/12/2024,444.55,4,Canada,1778.2
INV-9387,Frank,Beauty,7/3/2024,7/7/2024,43.21,8,France,345.68
INV-7832,Charlie,Toys,12/13/2024,12/20/2024,76.3,2,UK,152.6
INV-7095,Frank,Toys,8/1/2024,8/5/2024,140.84,9,Australia,1267.56
INV-9107,Bob,Electronics,12/23/2024,12/28/2024,209.62,4,Australia,838.48
INV-5560,Charlie,Books,11/29/2024,12/5/2024,22.24,2,Australia,44.48
INV-8135,Bob,Books,8/10/2024,8/13/2024,240.51,3,Australia,721.53
INV-5918,Alice,Electronics,6/24/2024,6/26/2024,172.94,9,Australia,1556.46
INV-4445,Frank,Books,9/26/2024,10/3/2024,323.66,4,UK,1294.64
INV-4628,Diana,Electronics,9/6/2024,9/13/2024,443.72,7,UK,3106.04
INV-8940,Bob,Clothing,5/29/2024,5/30/2024,346.66,7,Germany,2426.62
INV-3540,Eve,Electronics,1/20/2024,1/24/2024,152.69,2,USA,305.38
INV-6691,Charlie,Groceries,8/18/2024,8/24/2024,451.5,6,Canada,2709
INV-9630,Charlie,Books,10/16/2024,10/17/2024,96.21,7,Canada,673.47
INV-1421,Eve,Electronics,10/9/2024,10/14/2024,437.35,3,Australia,1312.05
INV-7686,Frank,Books,2/12/2024,2/19/2024,313.87,10,Canada,3138.7
INV-9132,Diana,Electronics,3/9/2024,3/14/2024,441.4,2,USA,882.8
INV-9485,Charlie,Clothing,2/3/2024,2/10/2024,348.39,8,USA,2787.12
INV-5584,Charlie,Books,3/27/2024,3/28/2024,423.9,2,USA,847.8
INV-9711,Charlie,Books,12/6/2024,12/10/2024,104.15,9,Canada,937.35
INV-6989,Frank,Groceries,3/31/2024,4/7/2024,496.56,10,Germany,4965.6
INV-6674,Bob,Groceries,7/25/2024,8/1/2024,273.56,7,Germany,1914.92
INV-1470,Bob,Books,5/25/2024,5/29/2024,108.55,5,UK,542.75
INV-7471,Alice,Books,3/15/2024,3/21/2024,35.44,4,France,141.76
INV-9689,Eve,Clothing,3/10/2024,3/13/2024,342.33,9,France,3080.97
INV-5772,Eve,,7/30/2024,8/2/2024,300.64,10,Canada,3006.4
INV-6963,Diana,Clothing,6/26/2024,7/3/2024,387.04,10,France,3870.4
INV-2152,Alice,Books,6/21/2024,6/26/2024,473.44,8,Canada,3787.52
INV-3322,Frank,Electronics,12/4/2024,12/9/2024,256.75,6,UK,1540.5
INV-1026,Eve,Toys,12/6/2024,12/13/2024,121.54,9,Canada,1093.86
INV-9964,Diana,Books,1/9/2024,1/13/2024,28.08,4,USA,112.32
INV-6019,Charlie,Groceries,2/9/2024,2/10/2024,245.79,6,USA,1474.74
INV-6667,Frank,Toys,8/7/2024,8/8/2024,257.74,5,France,1288.7
INV-9998,Bob,Beauty,4/20/2024,4/26/2024,347.14,8,Germany,2777.12
INV-2814,Alice,Groceries,3/29/2024,4/5/2024,473.79,5,UK,2368.95
INV-2393,Charlie,Beauty,8/19/2024,8/23/2024,369.33,3,USA,1107.99
INV-1725,Eve,Toys,4/8/2024,4/10/2024,316.52,6,Australia,1899.12
INV-2162,Frank,Clothing,7/21/2024,7/24/2024,275.18,2,USA,550.36
INV-7159,Charlie,Clothing,4/5/2024,4/7/2024,146.29,7,Australia,1024.03
INV-3018,Charlie,Electronics,6/28/2024,7/2/2024,348.78,4,UK,1395.12
INV-8721,Charlie,Electronics,7/26/2024,8/1/2024,11.02,5,Canada,55.1
INV-4232,Eve,Toys,3/19/2024,3/25/2024,90.88,2,USA,181.76
INV-3368,Bob,Books,12/18/2024,12/25/2024,53.99,7,USA,377.93
INV-2939,Alice,Books,1/15/2024,1/17/2024,484.65,3,USA,1453.95
INV-4415,Alice,Books,5/27/2024,5/30/2024,345.32,10,Australia,3453.2
INV-6831,Eve,Toys,3/15/2024,3/17/2024,480.24,5,Germany,2401.2
INV-8744,Charlie,Clothing,10/24/2024,10/30/2024,412.43,6,Australia,2474.58
INV-9916,Charlie,Books,4/30/2024,5/1/2024,353.28,6,USA,2119.68
INV-7273,Alice,Beauty,10/6/2024,10/13/2024,335.46,8,Australia,2683.68
INV-8952,Bob,Toys,4/9/2024,4/13/2024,352.2,3,France,1056.6
INV-5722,Diana,Toys,1/25/2024,1/27/2024,297.99,3,Canada,893.97
INV-5284,Frank,Clothing,1/13/2024,1/20/2024,80.16,3,Germany,240.48
INV-7618,Diana,Books,11/30/2024,12/7/2024,308.04,9,France,2772.36
INV-6053,Frank,Books,3/21/2024,3/22/2024,13.77,4,Canada,55.08
INV-2912,Frank,Toys,10/2/2024,10/9/2024,138.9,10,Canada,1389
INV-7912,Diana,Toys,10/10/2024,10/11/2024,337.23,1,Australia,337.23
INV-2747,Alice,Groceries,1/14/2024,1/16/2024,436.88,3,France,1310.64
INV-9295,Charlie,Books,7/27/2024,7/29/2024,203.39,1,Canada,203.39
INV-9760,Frank,Toys,6/2/2024,6/7/2024,142.92,8,Australia,1143.36
INV-3581,Diana,Electronics,3/19/2024,3/21/2024,434.56,9,France,3911.04
INV-8339,Alice,Clothing,11/24/2024,11/28/2024,173.64,8,France,1389.12
INV-9264,Frank,Electronics,6/16/2024,6/18/2024,429.39,3,UK,1288.17
INV-4373,Eve,Electronics,6/4/2024,6/6/2024,30.4,4,Germany,121.6
INV-5485,Bob,Books,7/23/2024,7/28/2024,216.14,7,France,1512.98
INV-8837,Bob,Books,1/11/2024,1/12/2024,156.49,10,Germany,1564.9
INV-5918,Diana,Groceries,9/16/2024,9/22/2024,250.24,6,USA,1501.44
INV-8373,Frank,Groceries,4/11/2024,4/17/2024,102.48,8,Germany,819.84
INV-5015,Charlie,Beauty,5/16/2024,5/21/2024,360.48,4,France,1441.92
INV-4096,Alice,Electronics,9/2/2024,9/6/2024,249.56,2,France,499.12
INV-2465,Bob,Groceries,5/22/2024,5/23/2024,219.16,10,Germany,2191.6
INV-3791,Eve,Groceries,1/16/2024,1/20/2024,196.92,5,France,984.6
INV-7797,Bob,Books,10/18/2024,10/25/2024,223.91,10,France,2239.1
INV-4991,Eve,Beauty,10/15/2024,10/16/2024,126.3,6,France,757.8
INV-4752,Frank,Electronics,12/27/2024,1/2/2025,115.56,6,UK,693.36
INV-5361,Frank,Electronics,1/16/2024,1/20/2024,161.86,2,Australia,323.72
INV-8098,Frank,Electronics,4/13/2024,4/17/2024,382.1,5,Australia,1910.5
INV-5267,Diana,Books,6/27/2024,6/28/2024,332.81,1,UK,332.81
INV-9252,Charlie,Toys,9/20/2024,9/24/2024,365.94,9,USA,3293.46
INV-5900,Diana,Electronics,12/25/2024,12/29/2024,176.72,4,Germany,706.88
INV-6073,Alice,Toys,7/17/2024,7/22/2024,20.21,8,Canada,161.68
INV-1572,Alice,Books,11/2/2024,11/3/2024,270.29,4,Australia,1081.16
INV-4794,Charlie,Electronics,10/30/2024,11/2/2024,428.63,2,France,857.26
INV-8223,Eve,Books,4/7/2024,4/14/2024,496.82,4,France,1987.28
