InvoiceNo,CustomerName,ProductCategory,OrderDate,ShippingDate,Price,Quantity,Country,TotalAmount
INV-6971,Alice,Electronics,2024-10-22,2024-10-26,307.15,5,USA,1535.75
INV-5237,Bob,Groceries,2024-11-12,2024-11-18,395.29,9,France,3557.61
INV-1785,Frank,Books,2024-03-10,2024-03-17,162.77,6,Germany,976.62
INV-4339,Frank,Toys,2024-02-03,2024-02-04,199.94,5,Canada,999.7
INV-3444,Frank,Beauty,2024-04-06,2024-04-07,476.46,10,Germany,4764.6
INV-9412,Frank,Books,2024-02-02,2024-02-04,84.76,1,Canada,84.76
INV-6586,Eve,Books,2024-03-18,2024-03-19,233.07,4,Germany,932.28
INV-1045,Frank,Groceries,2024-09-19,2024-09-26,449.44,2,Canada,898.88
INV-7953,Frank,Groceries,2024-10-28,2024-11-03,198.9,5,Germany,994.5
INV-2596,Diana,Clothing,2024-07-29,2024-07-30,469.33,1,France,469.33
INV-9234,Charlie,Beauty,2024-04-19,2024-04-21,5.56,10,Canada,55.6
INV-4017,Diana,Beauty,2024-06-05,2024-06-07,26.26,4,USA,105.04
INV-3843,Charlie,Beauty,2024-10-04,2024-10-07,325.95,1,Canada,325.95
INV-7135,Alice,Toys,2024-06-24,2024-06-29,211.67,10,UK,2116.7
INV-9576,Bob,Books,2024-10-05,2024-10-06,80.29,7,Germany,562.03
INV-9826,Frank,Beauty,2024-08-04,2024-08-10,97.8,5,Germany,489.0
INV-5041,Charlie,Books,2024-07-28,2024-07-31,354.67,5,Germany,1773.35
INV-5952,Charlie,Books,2024-08-31,2024-09-06,261.96,8,France,2095.68
INV-1372,Charlie,Toys,2024-10-01,2024-10-07,52.97,1,UK,52.97
INV-2956,Eve,Beauty,2024-04-05,2024-04-08,412.57,4,UK,1650.28
INV-2123,Bob,Electronics,2024-02-04,2024-02-09,282.53,2,Canada,565.06
INV-3092,Frank,Groceries,2024-05-18,2024-05-22,152.17,2,UK,304.34
INV-6321,Alice,Clothing,2024-05-15,2024-05-19,110.37,1,USA,110.37
INV-3268,Charlie,Groceries,2024-05-30,2024-05-31,154.92,3,UK,464.76
INV-2992,Bob,Toys,2024-05-29,2024-06-05,486.45,4,France,1945.8
INV-8575,Alice,Clothing,2024-10-27,2024-11-01,432.94,5,Canada,2164.7
INV-8342,Diana,Groceries,2024-03-21,2024-03-28,372.48,10,UK,3724.8
INV-7294,Bob,Toys,2024-09-17,2024-09-24,240.6,6,Canada,1443.6
INV-2122,Charlie,Groceries,2024-09-19,2024-09-20,5.29,10,UK,52.9
INV-7798,Bob,Electronics,2024-10-05,2024-10-07,85.41,4,USA,341.64
INV-2871,Frank,Electronics,2024-03-18,2024-03-19,293.47,8,UK,2347.76
INV-9061,Frank,Books,2024-09-01,2024-09-06,284.48,2,USA,568.96
INV-7436,Bob,Toys,2024-12-24,2024-12-28,239.72,3,Australia,719.16
INV-2588,Diana,Books,2024-03-31,2024-04-07,242.07,2,Germany,484.14
INV-6869,Alice,Beauty,2024-11-10,2024-11-15,256.91,8,Germany,2055.28
INV-3396,Diana,Clothing,2024-11-09,2024-11-13,44.85,5,Germany,224.25
INV-5809,Eve,Electronics,2024-11-03,2024-11-04,121.56,10,Germany,1215.6
INV-1804,Diana,Groceries,2024-06-12,2024-06-16,130.88,5,France,654.4
INV-2709,Diana,Books,2024-01-21,2024-01-27,452.76,5,UK,2263.8
INV-5082,Eve,Groceries,2024-10-13,2024-10-20,59.26,10,Canada,592.6
INV-9961,Charlie,Clothing,2024-01-16,2024-01-23,72.05,3,UK,216.15
INV-9770,Eve,Clothing,2024-01-12,2024-01-13,137.93,5,UK,689.65
INV-7492,Eve,Books,2024-11-08,2024-11-15,74.07,5,Germany,370.35
INV-5917,Bob,Books,2024-10-23,2024-10-24,270.36,8,UK,2162.88
INV-1045,Eve,Books,2024-06-11,2024-06-18,54.77,8,Australia,438.16
INV-1819,Charlie,Books,2024-01-29,2024-02-05,88.95,1,Germany,88.95
INV-1572,Frank,Clothing,2024-03-07,2024-03-12,332.8,9,France,2995.2
INV-6327,Charlie,Groceries,2024-04-01,2024-04-04,226.22,7,Australia,1583.54
INV-6142,Eve,Electronics,2024-07-18,2024-07-23,66.49,7,Canada,465.43
INV-3500,Diana,Toys,2024-09-01,2024-09-02,423.65,1,France,423.65
INV-3649,Alice,Toys,2024-08-21,2024-08-23,336.45,10,France,3364.5
INV-4749,Alice,Toys,2024-01-31,2024-02-01,325.31,5,UK,1626.55
INV-5995,Eve,Toys,2024-09-27,2024-10-03,435.26,4,USA,1741.04
INV-4793,Eve,Clothing,2024-01-16,2024-01-19,90.34,9,Australia,813.06
INV-5766,Bob,Electronics,2024-03-13,2024-03-18,10.06,2,France,20.12
INV-6236,Diana,Toys,2024-12-07,2024-12-13,353.63,3,France,1060.89
INV-7403,Diana,Electronics,2024-03-04,2024-03-10,121.64,8,UK,973.12
INV-1749,Charlie,Toys,2024-03-28,2024-04-02,484.58,6,Germany,2907.48
INV-2027,Charlie,Clothing,2024-10-23,2024-10-24,148.51,8,Germany,1188.08
INV-8480,Diana,Toys,2024-01-20,2024-01-25,436.47,1,Germany,436.47
INV-7539,Bob,Clothing,2024-04-14,2024-04-15,81.45,7,France,570.15
INV-5172,Charlie,Electronics,2024-01-01,2024-01-05,260.06,8,USA,2080.48
INV-3087,Diana,Toys,2024-10-14,2024-10-16,148.69,10,UK,1486.9
INV-7272,Bob,Beauty,2024-12-02,2024-12-06,354.5,4,Australia,1418.0
INV-5596,Eve,Clothing,2024-08-22,2024-08-28,109.13,3,Canada,327.39
,Alice,Clothing,2024-09-12,2024-09-16,66.39,1,Germany,66.39
INV-2538,Alice,Beauty,2024-02-09,2024-02-13,409.81,3,UK,1229.43
INV-6570,Bob,Books,2024-03-17,2024-03-23,347.1,6,Canada,2082.6
INV-2061,Frank,Beauty,2024-01-16,2024-01-18,256.99,1,UK,256.99
INV-4225,Alice,Beauty,2024-08-07,2024-08-08,424.91,8,Australia,3399.28
INV-6770,Charlie,Clothing,2024-11-13,2024-11-14,105.09,10,Germany,1050.9
INV-3823,Alice,Electronics,2024-09-01,2024-09-07,123.05,4,France,492.2
INV-8988,Frank,Clothing,2024-06-12,2024-06-17,414.55,10,Germany,4145.5
INV-6119,Frank,Books,2024-07-01,2024-07-04,136.2,6,Canada,817.2
INV-8323,Bob,Books,2024-07-04,2024-07-10,281.58,2,Australia,563.16
INV-3540,Alice,Electronics,2024-11-08,2024-11-09,280.32,5,Australia,1401.6
INV-7265,Diana,Clothing,2024-03-21,2024-03-26,315.29,3,UK,945.87
INV-9764,Bob,Toys,2024-07-20,2024-07-27,398.38,9,UK,3585.42
INV-1077,Eve,Clothing,2024-04-08,2024-04-14,19.03,2,Germany,38.06
INV-7235,Frank,Books,2024-01-10,2024-01-17,225.62,10,UK,2256.2
INV-3443,Charlie,Books,2024-10-02,2024-10-05,19.19,6,Canada,115.14
INV-4399,Diana,Toys,2024-05-06,2024-05-13,158.94,7,Canada,1112.58
INV-3230,Charlie,Beauty,2024-08-09,2024-08-15,206.4,4,Canada,825.6
INV-8087,Bob,Electronics,2024-09-30,2024-10-03,125.55,7,Canada,878.85
INV-4720,Frank,Books,2024-09-03,2024-09-10,188.41,1,Canada,188.41
INV-3678,Diana,Toys,2024-07-09,2024-07-12,444.55,4,Canada,1778.2
INV-9387,Frank,Beauty,2024-07-03,2024-07-07,43.21,8,France,345.68
INV-7832,Charlie,Toys,2024-12-13,2024-12-20,76.3,2,UK,152.6
INV-7095,Frank,Toys,2024-08-01,2024-08-05,140.84,9,Australia,1267.56
INV-9107,Bob,Electronics,2024-12-23,2024-12-28,209.62,4,Australia,838.48
INV-5560,Charlie,Books,2024-11-29,2024-12-05,22.24,2,Australia,44.48
INV-8135,Bob,Books,2024-08-10,2024-08-13,240.51,3,Australia,721.53
INV-5918,Alice,Electronics,2024-06-24,2024-06-26,172.94,9,Australia,1556.46
INV-4445,Frank,Books,2024-09-26,2024-10-03,323.66,4,UK,1294.64
INV-4628,Diana,Electronics,2024-09-06,2024-09-13,443.72,7,UK,3106.04
INV-8940,Bob,Clothing,2024-05-29,2024-05-30,346.66,7,Germany,2426.62
INV-3540,Eve,Electronics,2024-01-20,2024-01-24,152.69,2,USA,305.38
INV-6691,Charlie,Groceries,2024-08-18,2024-08-24,451.5,6,Canada,2709.0
INV-9630,Charlie,Books,2024-10-16,2024-10-17,96.21,7,Canada,673.47
INV-1421,Eve,Electronics,2024-10-09,2024-10-14,437.35,3,Australia,1312.05
INV-7686,Frank,Books,2024-02-12,2024-02-19,313.87,10,Canada,3138.7
INV-9132,Diana,Electronics,2024-03-09,2024-03-14,441.4,2,USA,882.8
INV-9485,Charlie,Clothing,2024-02-03,2024-02-10,348.39,8,USA,2787.12
INV-5584,Charlie,Books,2024-03-27,2024-03-28,423.9,2,USA,847.8
INV-9711,Charlie,Books,2024-12-06,2024-12-10,104.15,9,Canada,937.35
INV-6989,Frank,Groceries,2024-03-31,2024-04-07,496.56,10,Germany,4965.6
INV-6674,Bob,Groceries,2024-07-25,2024-08-01,273.56,7,Germany,1914.92
INV-1470,Bob,Books,2024-05-25,2024-05-29,108.55,5,UK,542.75
INV-7471,Alice,Books,2024-03-15,2024-03-21,35.44,4,France,141.76
INV-9689,Eve,Clothing,2024-03-10,2024-03-13,342.33,9,France,3080.97
INV-6963,Diana,Clothing,2024-06-26,2024-07-03,387.04,10,France,3870.4
INV-2152,Alice,Books,2024-06-21,2024-06-26,473.44,8,Canada,3787.52
INV-3322,Frank,Electronics,2024-12-04,2024-12-09,256.75,6,UK,1540.5
INV-1026,Eve,Toys,2024-12-06,2024-12-13,121.54,9,Canada,1093.86
INV-9964,Diana,Books,2024-01-09,2024-01-13,28.08,4,USA,112.32
INV-6019,Charlie,Groceries,2024-02-09,2024-02-10,245.79,6,USA,1474.74
INV-6667,Frank,Toys,2024-08-07,2024-08-08,257.74,5,France,1288.7
INV-9998,Bob,Beauty,2024-04-20,2024-04-26,347.14,8,Germany,2777.12
INV-2814,Alice,Groceries,2024-03-29,2024-04-05,473.79,5,UK,2368.95
INV-2393,Charlie,Beauty,2024-08-19,2024-08-23,369.33,3,USA,1107.99
INV-1725,Eve,Toys,2024-04-08,2024-04-10,316.52,6,Australia,1899.12
INV-2162,Frank,Clothing,2024-07-21,2024-07-24,275.18,2,USA,550.36
INV-7159,Charlie,Clothing,2024-04-05,2024-04-07,146.29,7,Australia,1024.03
INV-3018,Charlie,Electronics,2024-06-28,2024-07-02,348.78,4,UK,1395.12
INV-8721,Charlie,Electronics,2024-07-26,2024-08-01,11.02,5,Canada,55.1
INV-4232,Eve,Toys,2024-03-19,2024-03-25,90.88,2,USA,181.76
INV-3368,Bob,Books,2024-12-18,2024-12-25,53.99,7,USA,377.93
INV-2939,Alice,Books,2024-01-15,2024-01-17,484.65,3,USA,1453.95
INV-4415,Alice,Books,2024-05-27,2024-05-30,345.32,10,Australia,3453.2
INV-6831,Eve,Toys,2024-03-15,2024-03-17,480.24,5,Germany,2401.2
INV-8744,Charlie,Clothing,2024-10-24,2024-10-30,412.43,6,Australia,2474.58
INV-9916,Charlie,Books,2024-04-30,2024-05-01,353.28,6,USA,2119.68
INV-7273,Alice,Beauty,2024-10-06,2024-10-13,335.46,8,Australia,2683.68
INV-8952,Bob,Toys,2024-04-09,2024-04-13,352.2,3,France,1056.6
INV-5722,Diana,Toys,2024-01-25,2024-01-27,297.99,3,Canada,893.97
INV-5284,Frank,Clothing,2024-01-13,2024-01-20,80.16,3,Germany,240.48
INV-7618,Diana,Books,2024-11-30,2024-12-07,308.04,9,France,2772.36
INV-6053,Frank,Books,2024-03-21,2024-03-22,13.77,4,Canada,55.08
INV-2912,Frank,Toys,2024-10-02,2024-10-09,138.9,10,Canada,1389.0
INV-7912,Diana,Toys,2024-10-10,2024-10-11,337.23,1,Australia,337.23
INV-2747,Alice,Groceries,2024-01-14,2024-01-16,436.88,3,France,1310.64
INV-9295,Charlie,Books,2024-07-27,2024-07-29,203.39,1,Canada,203.39
INV-9760,Frank,Toys,2024-06-02,2024-06-07,142.92,8,Australia,1143.36
INV-3581,Diana,Electronics,2024-03-19,2024-03-21,434.56,9,France,3911.04
INV-8339,Alice,Clothing,2024-11-24,2024-11-28,173.64,8,France,1389.12
INV-9264,Frank,Electronics,2024-06-16,2024-06-18,429.39,3,UK,1288.17
INV-4373,Eve,Electronics,2024-06-04,2024-06-06,30.4,4,Germany,121.6
INV-5485,Bob,Books,2024-07-23,2024-07-28,216.14,7,France,1512.98
INV-8837,Bob,Books,2024-01-11,2024-01-12,156.49,10,Germany,1564.9
INV-5918,Diana,Groceries,2024-09-16,2024-09-22,250.24,6,USA,1501.44
INV-8373,Frank,Groceries,2024-04-11,2024-04-17,102.48,8,Germany,819.84
INV-5015,Charlie,Beauty,2024-05-16,2024-05-21,360.48,4,France,1441.92
INV-4096,Alice,Electronics,2024-09-02,2024-09-06,249.56,2,France,499.12
INV-2465,Bob,Groceries,2024-05-22,2024-05-23,219.16,10,Germany,2191.6
INV-3791,Eve,Groceries,2024-01-16,2024-01-20,196.92,5,France,984.6
INV-7797,Bob,Books,2024-10-18,2024-10-25,223.91,10,France,2239.1
INV-4991,Eve,Beauty,2024-10-15,2024-10-16,126.3,6,France,757.8
INV-4752,Frank,Electronics,2024-12-27,2025-01-02,115.56,6,UK,693.36
INV-5361,Frank,Electronics,2024-01-16,2024-01-20,161.86,2,Australia,323.72
INV-8098,Frank,Electronics,2024-04-13,2024-04-17,382.1,5,Australia,1910.5
INV-5267,Diana,Books,2024-06-27,2024-06-28,332.81,1,UK,332.81
INV-9252,Charlie,Toys,2024-09-20,2024-09-24,365.94,9,USA,3293.46
INV-5900,Diana,Electronics,2024-12-25,2024-12-29,176.72,4,Germany,706.88
INV-6073,Alice,Toys,2024-07-17,2024-07-22,20.21,8,Canada,161.68
INV-1572,Alice,Books,2024-11-02,2024-11-03,270.29,4,Australia,1081.16
INV-4794,Charlie,Electronics,2024-10-30,2024-11-02,428.63,2,France,857.26
INV-8223,Eve,Books,2024-04-07,2024-04-14,496.82,4,France,1987.28
INV-7332,Eve,Books,2024-07-09,2024-07-14,419.8,10,USA,4198.0
INV-6261,Alice,Beauty,2024-07-21,2024-07-23,234.3,10,Australia,2343.0
INV-7456,Frank,Clothing,2024-04-11,2024-04-12,155.21,2,Australia,310.42
INV-1068,Diana,Electronics,2024-12-28,2025-01-03,192.11,1,Germany,192.11
